Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare/Objekta veids,Darbojās 2017.gadā,Bibliotēkas vadītājs/direktors,Reģistrācijas nr. LR Uzņēmumu reģistrā,Reģistrācijas datums LR Uzņēmumu reģistrā,Reģistrācijas nr. LR Kultūras ministrijas Bibliotēku reģistrā,Reģistrācijas datums LR Kultūras ministrijas Bibliotēku reģistrā,Juridiskais statuss,Akreditācijas apliecības nr.,Akreditācijas datums,Akreditācijas termiņš,Dibināšanas gads,Sākums,Darbība,Papildus informācija,Ēkas īpašuma forma,Ēkas uzcelšanas gads,Kultūras pieminekļa Valsts aizsardzības Nr.,Teritorijas kopējā platība (m2),Papildu informācija par infrastruktūru,Telpas pieejamas cilvēkiem ar kustību traucējumiem,Ir 3 fāzu elektrības pieslēgums,Telpu kopplatība (m2),Lietotāju vietu skaits bibliotēkā,Aktīvo lietotāju kopskaits 2017.gadā,Bērni un jaunieši līdz 18 gadiem,Pārējie,Fizisko apmeklējumu kopskaits,Fiziskais apmeklējums - Pieaugušie,Fiziskais apmeklējums - Bērni un jaunieši līdz 18 gadiem,Virtuālais apmeklējums,Sociālo tīklu apmeklējums,Izsniegumu kopskaits,No kopējā izsnieguma skaita - bērniem un jauniešiem līdz 18 gadiem,Elektroniski nosūtīto vienību kopskaits,Jaunieguvumu kopskaits,Izslēgto dokumentu kopskaits,Krājumu kopskaits 2017.gada beigās,Bezmaksas Wi-Fi,Integrētā bibliotēku informācijas sistēma,Cita integrētā bibliotēku informācijas sistēma,Datubāžu kopskaits,Printeru kopskaits,Skeneru kopskaits,Kopējamo iekārtu kopskaits,Multifunkcionālo iekārtu kopskaits,Pamatinformācija bibliotēkas vietnē pieejama,Vietnes automātiskās tulkošanas iespēja,Pašapkalpošanas grāmatu izsniegšanas/ nodošanas sistēma,Digitālo kolekciju skaits 2017.gada beigās,Izstāžu kopskaits 2017.gadā,Tematiskie pasākumi,Projektizstrāde,Izdevējdarbība,Zinātniskās pētniecības darbs
Ulbrokas vidusskolas bibliotēka,LV-BIB-013106,"Ulbrokas vidusskola, Vālodzes, Stopiņu nov., LV-2130",56.92877,24.32126,309504,519553,Bibliotēkas,Jā,Astrīda Cimure,LV9000007986,28.03.1996,BLB1691,14.10.2004,Pašvaldības iestāde,7852,07.01.2014,02.12.2019,,,,,Pašvaldības īpašums,1992,,,,Jā,Jā,124.00000000,17,848,760,88.00000000,2950.00000000,830,2120,,,9492.00000000,8506,,1156.00000000,300.00000000,29028.00000000,,ALISE,,2.00000000,2.00000000,,1.00000000,,,,,,9,2,,,
Umurgas bibliotēka,LV-BIB-000510,"Cēsu iela 6, Umurga, Umurgas pag., Limbažu nov., LV-4004",57.51808,24.80921,375347,548472,Bibliotēkas,Jā,Ilze Bojane,90009231505,04.01.2010,BLB0270,27.11.2003,Pašvaldības iestāde,508A,16.11.2015,15.11.2020,1898,"Bibliotēkas vēsturiskā attīstība sākās no 1869. gada, kad tiek dibināta Umurgas Dziedāšanas biedrība. Par oficiālo bibliotēkas dibināšanas laiku tiek uzskatīts 1898. gads. No 1957. gada bibliotēka atrodas Umurgas kultūras namā. Pašreizējās telpās  - no 1973. gada. 2009. gada septembrī uzsākta Umurgas kultūras nama ēkas fasādes siltināšana, jumta seguma nomaiņa un interjera rekonstrukcija. Projekts pabeigts 2010. gada 30. decembrī. ","Vietējās kultūrvides saglabāšana, mūžizglītība. Nodrošina informācijas publisku pieejamību, sadarbību.",,Pašvaldības īpašums,1957,,1261.00000000,,Jā,,125.00000000,25,304,99,205.00000000,3682.00000000,2010,1672,,46,4666.00000000,664,,605.00000000,504.00000000,6857.00000000,Jā,ALISE,,2.00000000,1.00000000,1.00000000,,1.00000000,,,,,12,10,,,
Umurgas pamatskolas bibliotēka,LV-BIB-012853,"Skolas iela 4, Umurga, Umurgas pag., Limbažu nov., LV-4004",57.528,24.80028,376445,547924,Bibliotēkas,Jā,Ilona Zeltiņa-Skujiņa,90000062480,24.01.2002,BLB1269,06.05.2004,Pašvaldības iestāde,,,,1975,,"Skolas bibliotēka apkalpo Umurgas pamatskolas skolēnus, skolotājus, tehnisko personālu, kā arī skolēnu vecākus un absolventus.;Umurgas pamatskolas bibliotēkas funkcijas:;* izglītības veicināšana,;* lasītāju apakalpošana,;* literatūras popularizēšana,;* informācijas sniegšana un apkopošana.",,Juridisko personu īpašums,1874,,3200.00000000,,,,109.00000000,13,125,108,17.00000000,1474.00000000,117,1357,,,1765.00000000,1542,,1121.00000000,1742.00000000,11430.00000000,,,,0.00000000,,,1.00000000,,,,,,,,,,
Upesgrīvas internātpamatskolas bibliotēka,LV-BIB-013210,"Upesgrīvas skola, Uguņciems, Vandzenes pag., Talsu nov., LV-3284",57.38198,22.96049,360385,437502,Bibliotēkas,Jā,Ilze Rozentāle,,,BLB0341,09.12.2003,Pašvaldības iestāde,1260,08.06.2005,08.06.2011,,,"Skolēnu apkalpošana, mācību grāmatu izsniegšana",,Pašvaldības īpašums,,,,,,,9.00000000,2,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,15915.00000000,,,,0.00000000,,,,,,,,,,,,,
Upesleju internātpamatskola - rehabilitācijas centrs,LV-BIB-013133,"Internātpamatskola, Upeslejas, Stopiņu nov., LV-2118",56.92472,24.38559,309073,523471,Bibliotēkas,Jā,Gunta Bruģētāja,90000047814,,BLB1830,06.12.2005,Pašvaldības iestāde,2832,18.02.2005,19.02.2020,1976,"Bibliotēka strādā no pirmās skolas dienas, komplektējot divus fondus: mācību grāmatas un pamatfondu krievu un latviešu valodā. ","šobrīd bibliotēkā ir divi fondi; mācību grāmatu un pamatfonds. Bibliotēkārs plāno un iegādājas mācību grāmatas un mācību metodiku atbilstoši skolotāju vajadzībām, mainījies un atjaunots pamatfonds; lasītava izremontēta un pielāgota audzēkņu lietderīgai brīvā laika pavadīšanai. Notiek daudzveidīgas nodarbības lasītprasmju veidošanai .;Ir internets, daudz elektronisko resursu.",,Pašvaldības īpašums,1976,,,,Jā,Jā,110.00000000,20,305,150,155.00000000,1646.00000000,496,1150,,,3371.00000000,1657,,811.00000000,2366.00000000,12381.00000000,,ALISE,,0.00000000,,,,,,,,,4,46,2,,
Upītes bibliotēka,LV-BIB-000168,"Akas laukums 1, Upīte, Šķilbēnu pag., Viļakas nov., LV-4587",57.02632,27.67559,326322,723064,Bibliotēkas,Jā,Lolita Spridzāne,90009135309,30.07.2009,BLB0607,21.02.2004,Pašvaldības iestāde,863,07.09.2015,07.09.2020,1953,Bibliotēka dibināta 1953. gadā kā Staļina vārdā nosauktā lauksaimniecības arteļa bibliotēka. pirmās grāmatas bija: Staļina  un Ļeņina kopotie raksti.,"Ir Latvijas valsts ZA pierobežas kultūrvēsturiskais centrs, kurš apkalpo apmeklētājus ar literatūru, presi, izziņas materiāliem un veido informatīvo bāzi par latgalisko kultūrvēsturi ZA pierobežas ciemos.",,Pašvaldības īpašums,1960,,,,Jā,Jā,90.00000000,15,172,65,107.00000000,3457.00000000,1954,1503,2424,3090,9009.00000000,4085,,265.00000000,472.00000000,5448.00000000,Jā,,,2.00000000,,1.00000000,1.00000000,2.00000000,Latviešu valoda,,,,28,6,1,,
Usmas  bibliotēka,LV-BIB-000875,"Auseklīši, Usma, Usmas pag., Ventspils nov., LV-3619",57.21799,22.1548,343161,388572,Bibliotēkas,Jā,Ilze Spriņķe,90009426582,07.10.2010,BLB0911,11.03.2004,Pašvaldības struktūrvienība,434A,28.08.2014,28.08.2019,1924,1924,,Mēneša pēdējā ceturtdienā - slēgta,Pašvaldības īpašums,1990,,,,Jā,Jā,163.00000000,40,177,14,163.00000000,2158.00000000,2102,56,,,6235.00000000,89,,604.00000000,60.00000000,7119.00000000,Jā,ALISE,,3.00000000,1.00000000,,,1.00000000,,,,2,38,16,,,
Uzvaras pamatskolas bibliotēka,LV-BIB-012522,"Sporta iela 3, Uzvara, Gailīšu pag., Bauskas nov., LV-3931",56.31953,24.26059,241675,516118,Bibliotēkas,Jā,Elita Novika,,,BLB1128,25.03.2004,Pašvaldības iestāde,,,,,,,,Pašvaldības īpašums,1989,,,,,,156.00000000,25,159,140,19.00000000,1291.00000000,171,1120,,,1235.00000000,1115,,588.00000000,0.00000000,12986.00000000,,,,0.00000000,1.00000000,,1.00000000,,,,,,5,2,,,
Užavas bibliotēka,LV-BIB-000876,"Kalves, Užava, Užavas pag., Ventspils nov., LV-3627",57.23088,21.46017,345945,346688,Bibliotēkas,Jā,Dagnija Latiša,90009426101,07.10.2010,BLB0912,11.03.2004,Pašvaldības struktūrvienība,435A,28.08.2014,28.08.2019,1928,Bibliotēka dibināta 1928. gadā,"Bibliotēka ir Ventspils novada pašvaldības kultūras iestāde, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam Užavas pagasta iedzīvotājam un visiem interesentiem. ","Pusdienas pārtraukums (izņemot piektdienu) 12:00-13:00, mēneša pēdējā ceturtdiena - slēgts ",Pašvaldības īpašums,1967,,,,,,62.00000000,10,203,91,112.00000000,3200.00000000,1574,1626,,4235,6666.00000000,690,,629.00000000,498.00000000,5541.00000000,Jā,ALISE,,3.00000000,1.00000000,1.00000000,1.00000000,,,,,,53,27,1,,
Užavas pamatskolas bibliotēka,LV-BIB-013297,"Kalves, Užava, Užavas pag., Ventspils nov., LV-3627",57.23088,21.46017,345945,346688,Bibliotēkas,Jā,Guntra Magonīte,4112900047,29.10.2009,BLB1743,15.04.2005,Pašvaldības iestāde,1625,12.03.2010,06.06.2013,,,,,Pašvaldības īpašums,1964,,,,,,24.00000000,8,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,1979.00000000,,,,0.00000000,,,,,,,,,,,,,
V.Plūdoņa Kuldīgas vidusskolas bibliotēka,LV-BIB-012772,"Piltenes iela 25, Kuldīga, Kuldīgas nov., LV-3301",56.97441,21.95844,316392,375905,Bibliotēkas,Jā,,,,BLB0869,10.03.2004,Pašvaldības iestāde,,,,,,,,,,,,,,,0.00000000,,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,20563.00000000,14605.00000000,Jā,ALISE,,1.00000000,1.00000000,1.00000000,1.00000000,,,,,,,,,,
Vaboles pagasta bibliotēka,LV-BIB-000274,"Vaboles, Vabole, Vaboles pag., Daugavpils nov., LV-5477",56.03473,26.47818,212717,654402,Bibliotēkas,Jā,Ināra Meijere,90000030945,04.03.1996,BLB0097,14.10.2003,Pašvaldības struktūrvienība,616A,14.12.2016,14.12.2021,1947,"Bibliotēka dibināta 1947. gadā kā Osogola ciema bibliotēka. Par to liecina ieraksti bibliotēkas inventāra grāmatā. Pirmajā grāmatu kopā ietilpa 550 jaunieguvumi, kuri visi bija iznākuši padomju varas gados. 20. gadsimta 60 - jos gados Osogola ciema bibliotēka pēc vairāku pagastu apvienošanas tiek pārdēvēta par Vaboles pagasta, vēlāk ciema bibliotēku.","Vaboles pagasta bibliotēka nodrošina pagasta iedzīvotājiem brīvu pieeju dažādiem informācijas resursiem, sniedz atbalstu visa veida izglītībai un piedāvā saturīgu brīvā laika pavadīšanas iespēju. Bibliotēka arī apkopo informāciju un nodod to iedzīvotajiem, veicina pagasta iedzīvotāju mūžizglītības procesu, nodrošina bibliotēkas lasītājiem visus iespējamos bibliotēkas pakalpojumus.",Pusdienu pārtraukums 13:00 - 13:30,Pašvaldības īpašums,1932,,268.00000000,,Jā,Jā,73.84000000,12,269,126,143.00000000,3690.00000000,2076,1614,763,1091,5323.00000000,701,0,570.00000000,622.00000000,5049.00000000,Jā,,,2.00000000,1.00000000,1.00000000,,1.00000000,Latviešu valoda,,,,16,5,1,,
Vaboles vidusskolas bibliotēka,LV-BIB-012634,"Vidusskola, Vabole, Vaboles pag., Daugavpils nov., LV-5477",56.02795,26.4642,211932,653558,Bibliotēkas,Jā,Dina Žilvinska,90000030945,04.03.1996,BLB0127,10.11.2003,Pašvaldības struktūrvienība,,,,,,"Vaboles vidusskolas bibliotēka ir Vaboles vidusskolas struktūrvienība. Tas ir skolas informācijas centrs, kas nodrošina informācijas un literatūras pieejamību. Sniedz pakalpojumus skolotājiem un skolēniem. darbojas atbilstoši skolas iekšejās kartības noteikumiem.",,Pašvaldības īpašums,1918,,209.00000000,,,Jā,55.00000000,8,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,8208.00000000,Jā,,,0.00000000,1.00000000,,,,,,,,,,,,
Vadakstes pagasta bibliotēka,LV-BIB-000742,"Krāces 2, Vadakste, Vadakstes pag., Saldus nov., LV-3895",56.37285,22.74741,248284,422635,Bibliotēkas,Jā,Aina Statkus,90000052162,11.03.1996,BLB0005,11.02.2004,Pašvaldības struktūrvienība,641A,21.11.2014,21.11.2019,1924,"Arhīva fonda „Valsts Statistikas pārvalde” dokumentos- 1939.g. sastādītā Latvijas bibliotēku sarakstā redzams, ka Jelgavas apriņķa Vadakstes pagastā bijusi viena bibliotēka- Vadakstes sešklasu pamatskolas Kultūras fonda bibliotēka, kas dibināta 1924.gadā. Bibliotēka atradās Vadakstes pilī 1.stāvā apaļajā salonā.","Bibliotēkai ir izstrādāts darba plāns gadam un ceturkšņiem, kas sniedz pilnīgu priekšstatu par bibliotēkas darbu. 2011. gada sākumā bibliotēkā uzsākta automatizēta lietotāju apkalpošana. 2014. gadā bibliotēka atkārtotā  akreditācijā ieguvusi vietējās nozīmes bibliotēkas statusu. 2014. gadā izveidota interneta vietne http://vadakstesmantojums.saldus.lv, kurā pieejami 1105 digitalizēti Vadakstes novadpētnieka Ž.Skudras novadpētniecības materiāli. Turpinās mājas lapas papildināšana ar jauniem ierakstiem, kā arī iedzīvotāju atmiņu ierakstīšana diktofonā un CD.;Izveidots novadpētniecības stends ""Ievērojami cilvēki Vadakstes pagastā"". Bibliotēkā iekārtota Klusā lasītava.","Darbdienās pusdienlaiks no 12:00-13:00;Katra mēneša pēdējā trešdiena-metodiskā diena,bibliotēka apmeklētājiem slēgta;",Pašvaldības īpašums,1986,,1746.00000000,,,,104.10000000,13,136,28,108.00000000,2794.00000000,2456,338,,273,6914.00000000,323,45,708.00000000,679.00000000,8280.00000000,Jā,ALISE,,3.00000000,2.00000000,,,1.00000000,,,,,67,14,2,,
Vaidavas pagasta bibliotēka,LV-BIB-000863,"Skolas iela 1A, Vaidava, Vaidavas pag., Kocēnu nov., LV-4228",57.42997,25.28464,365978,577134,Bibliotēkas,Jā,Maija Vītola,90009114171,02.07.2009,BLB0730,16.02.2004,Pašvaldības iestāde,600,05.09.2016,05.09.2021,1930,"Pēc ziņām no Latvijas Valsts Vēstures arhīva, bibliotēka dibināta 1930.g.","Bibliotēka ir pašvaldības kultūras iestāde, kas nodrošina bibliotekāros paklpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam, kā arī piedalās mūžizglītības procesā.",Pārtraukums 12:00 līdz 13:00,Pašvaldības īpašums,1980,,,,,Jā,116.00000000,19,200,36,164.00000000,3242.00000000,2743,499,155,,4722.00000000,222,,472.00000000,1078.00000000,6307.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,34,11,,,
Vaiņodes pagasta bibliotēka,LV-BIB-000478,"Raiņa iela 1A, Vaiņode, Vaiņodes pag., Vaiņodes nov., LV-3435",56.41749,21.85486,254612,367670,Bibliotēkas,Jā,Lienīte Rozenbaha,90000059071,03.07.2008,BLB0406,07.01.2004,Pašvaldības iestāde,415A,07.09.2015,07.09.2021,1906,"Pirmās ziņas par Vaiņodes pagasta bibliotēku ir no 1906. gada, kad nodibināta ""Bātes - Vaiņodes bibliotēkas biedrība"", kurai bijusi sava bibliotēka.","Vaiņodes pagasta bibliotēka ir Vaiņodes pagasta pašvaldības informācijas un kultūras centrs, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedz;ivotājam un visiem interesentiem un ir vietējās sabiedrības informācijas vieta.",,Pašvaldības īpašums,1963,,269.90000000,,,Jā,213.00000000,16,421,145,276.00000000,6890.00000000,4328,2562,,,7535.00000000,758,,763.00000000,1966.00000000,7429.00000000,Jā,ALISE,,2.00000000,,1.00000000,1.00000000,1.00000000,,,,,8,13,,,
Vaiņodes vidusskolas bibliotēka,LV-BIB-012834,"Avotu iela 4, Vaiņode, Vaiņodes pag., Vaiņodes nov., LV-3435",56.42152,21.85864,255053,367917,Bibliotēkas,Jā,,1313900999,24.07.2000,BLB0370,10.12.2003,Pašvaldības iestāde,3046,10.03.2015,09.03.2021,,,,,Pašvaldības īpašums,1964,,,,,,130.00000000,25,265,225,40.00000000,4246.00000000,615,3631,,,3583.00000000,3042,,1357.00000000,915.00000000,11654.00000000,,,,0.00000000,,,1.00000000,,,,,,5,4,,,
Vaivaru pamatskolas bibliotēka,LV-BIB-012735,"Skautu iela 2, Jūrmala, LV-2008",56.95965,23.66366,312945,479546,Bibliotēkas,Jā,Jānis Ķirsis,,,BLB1001,15.03.2004,Pašvaldības iestāde,,,,1996,,,,Valsts īpašums,1918,,980.70000000,,Jā,,20.10000000,0,206,184,22.00000000,465.00000000,73,392,,,1703.00000000,1430,,328.00000000,459.00000000,3007.00000000,Jā,,,0.00000000,,,,,,,,,,,,,
Valdemāra Ancīša Aknīstes bibliotēka,LV-BIB-000354,"Skolas iela 16, Aknīste, Aknīstes nov., LV-5208",56.16357,25.73807,225646,607935,Bibliotēkas,Jā,Veronika Papaurele,90009155930,01.09.2009,BLB1561,04.04.2012,Pašvaldības iestāde,98B,08.11.2018,09.11.2023,1946,1946.gada 26. oktobrī pirmais ieraksts inventāra grāmatā,"Valdemāra Ancīša Aknīstes bibliotēka ir vietējas nozīmes publiskā bibliotēka ar universālu krājumu. Bibliotēka ir informācijas, komunikācijas iestāde iedzīvotājiem, kuras pakalpojumus var izmantot jebkurš bibliotēkas lietotājs neatkarīgi no dzīvesvietas, vecuma un sociālā stāvokļa.",,Pašvaldības īpašums,1985,,,,,Jā,302.00000000,57,445,170,275.00000000,6501.00000000,3506,2995,,,13286.00000000,1954,,1088.00000000,1027.00000000,12602.00000000,Jā,ALISE,,2.00000000,2.00000000,1.00000000,1.00000000,2.00000000,,,,,41,24,1,,
Valdemārpils vidusskolas bibliotēka,LV-BIB-013205,"Skolas iela 3, Valdemārpils, Talsu nov., LV-3260",57.37383,22.59489,359873,415504,Bibliotēkas,Jā,Andra Dzirvinska,90000011997,07.03.1996,BLB2408,08.03.2003,Pašvaldības struktūrvienība,2408,29.03.2012,28.03.2018,1919,1919.gada 15.oktobrī uz Sasmakas (tagad Valdemārpils) elemetārskolas bāzes atver Sasmakas (tagad Valdemārpils) 4 klašu latviešu pamatskolu.;Tajā darbojas neliela bibliotēka.,"Skolas bibliotēka līdzdarbojas skolas lincencēto un akreditēto izglītības programmu īstenošanā.;Bibliotēkas darbības pamatvirziens: izglītības programmu īstenošanai nepieciešamo mācību grāmatu,māc. līdzekļu,digitālo mācību līdzekļu un citu dokumentu komplektēšana , uzskaite,sistematizēšana,kataloģizēšana,klasificēšana un uzglabāšana. ;Bibliotēka veic skolotāju un skolēnu informatīvo, izglītojošo un bibliotekāro apkalpošanu.",,Pašvaldības īpašums,1980,,5194.00000000,,Jā,Jā,84.30000000,20,295,262,33.00000000,4809.00000000,338,4471,,,6841.00000000,6034,,490.00000000,503.00000000,10153.00000000,Jā,ALISE,,3.00000000,,,,1.00000000,Latviešu valoda,,,,7,9,,,
Valgundes   bibliotēka,LV-BIB-000343,"Saules iela 2, Valgunde, Valgundes pag., Jelgavas nov., LV-3017",56.7494,23.68157,289537,480526,Bibliotēkas,Jā,Ligita Ķekare,90000039022,04.03.1994,BLB1370,18.05.2004,Pašvaldības struktūrvienība,124A,18.09.2012,18.09.2017,1947,"1947.gads ,pēc pirmā ieraksta inventāra grāmatā.","Galvenais darbības veids ir individuālais darbs ar lasītāju,kā arī dažāda veida sadarbība ar vietējo kultūras centru ""Avoti"",pirmskolas bērnu grupiņu ""Lācītis"" un Kalnciema vidusskolu,vietējām nevlalstisk;am organizācijām.Viens no mīļākajiem darba virzieniem- vietējās kultūrvides vēstures apzināšana.",trešdiena -metodiskā diena,Pašvaldības īpašums,2003,,,,,Jā,50.00000000,5,220,69,151.00000000,1539.00000000,1082,457,,,4990.00000000,731,,856.00000000,422.00000000,4970.00000000,,ALISE,,2.00000000,,,,1.00000000,Latviešu valoda,Google,,,24,3,,,
Valgundes pagasta Tīreļu bibliotēka,LV-BIB-000344,"Rīgas iela 20, Tīreļi, Valgundes pag., Jelgavas nov., LV-3017",56.84123,23.5824,299791,474524,Bibliotēkas,Jā,Vija Jansone,90000039037,04.03.1996,BLB1371,18.03.2005,Pašvaldības struktūrvienība,123A,18.09.2012,18.09.2017,1947,"Dibināta 1947.gadā. Par bibliotekāru sāka strādāt Augusts Vītiņš. Pirmie ieraksti inventāra grāmatā izdarīti 1947.gada 25.aprīlī.Pirmajā darbības gadā bibliotēkas fondā bija1275 eksemplāri. Bibliotēka atradās mājās „Mazogles”, kurā arī atradās  ciema padome  un  ar 1949.gadu mājvietu rada arī kolhoza „Boļševiks” kantoris. Šajā ēkā bibliotēka mājoja līdz 1997 .gadam",,Trešdiena-metodiskā diena,Pašvaldības īpašums,1919,,3000.00000000,,,Jā,81.00000000,12,233,49,184.00000000,2965.00000000,2580,385,,,6332.00000000,182,,725.00000000,313.00000000,4664.00000000,Jā,ALISE,,2.00000000,2.00000000,,,1.00000000,Latviešu valoda,,,,15,6,,,
Valkas Jāņa Cimzes ģimnāzijas bibliotēka,LV-BIB-013257,"Raiņa iela 28A, Valka, Valkas nov., LV-4701",57.77467,26.01474,405406,619826,Bibliotēkas,Jā,Vineta Barviķe,4413903137,19.07.2016,BLB2066,23.08.2016,Pašvaldības iestāde,3393,16.03.2017,15.03.2016,,"Pirmās ziņas par skolas bibliotēkas grāmatu fondu atrodamas 1920.-1925.gada materiālos. Drīz pēc skolas dibināšanas iekārtota arī bibliotēka, kuras fondā bijuši 2152 eksemplāri grāmatu- latviešu, krievu, vācu, franču, angļu un latīņu valodās.","2016. g.skolu reformas rezultātā darbojas viena skola divās ēkās un divās bibliotēkās.;Uz 2018.gada 1.janvāri bibliotēkas fondā ir 5356 mācību grāmatas un 5910 daiļliteratūras grāmatas.;;Bibliotēkā tiek rīkots Dzejas dienu pasākums, akcija ""Draudzīgais aicinājums"", vadītas bibliotekārās stundas un īstenota lasīšanas veicināšanas programma ""Bērnu un jauniešu, vecāku Žūrija"".;;2017.gadā skolas bibliotēka turpināja darbu Valkas novada elektroniskajā kopkatalogā ALISE.; ",,,,,,,,,,,532,473,59.00000000,12685.00000000,2219,10466,,,10088.00000000,9942,,892.00000000,1034.00000000,36039.00000000,Jā,ALISE,,0.00000000,1.00000000,,,,,,,,20,30,,,
Valkas novada Centrālā  bibliotēka,LV-BIB-000812,"Rīgas iela 22, Valka, Valkas nov., LV-4701",57.77431,26.01934,405374,620101,Bibliotēkas,,Ginta Dubrovska,LV90009191255,26.10.2009,BLB0433,08.01.2004,Pašvaldības iestāde,12B,21.04.2016,20.04.2021,1923,"1923. gada 7. februārī Valkas pilsētas valdes pilnvarotais Eduards Zāģers parakstīja Kultūras fonda bibliotēku noteikumus un saņēma 505 grāmatas. Lasītāju uzskaites žurnāls liecina, ka grāmatu izsniegšana uzsākta 1924. gadā. ","Bibliotēka ir Valkas novada kultūras, izglītības un informācijas iestāde, kas pamatā apkalpo Valkas pilsētas iedzīvotājus, kā arī pilda Valkas reģiona galvenās bibliotēkas funkcijas.  Bibliotēka likumā noteiktā kārtībā ir reģistrēta LR Bibliotēku reģistrā un veic pasaules kultūras mantojuma - iespieddrabu, elektronisko izdevumu un citu dokumentu uzkrāšanu, sistematizēšanu, bibliogrāfēšanu un saglabāšanu,kā ari nodrošina tajā esošās informācijas publisku pieejamību un izmantošanu. Bibliotēkā uzkrāts un regulāri tiek papildināts novadpētniecības krājums par Valkas novadu. ",Katra mēneša pirmajā ceturtdienā bibliotēka slēgta - spodrības diena. No 1. jūnija līdz 31. augustam ieskaitot sestdienās atvērta tikai jaunākās periodikas lasītava; pieeja datoriem un internetam ir nodrošināta.,Pašvaldības īpašums,1978,,,,Jā,Jā,898.00000000,30,1551,480,1071.00000000,27014.00000000,17435,9579,43192,7840,48959.00000000,7435,304,2356.00000000,2563.00000000,35672.00000000,Jā,ALISE,,3.00000000,5.00000000,,2.00000000,4.00000000,Latviešu valoda,Google,,,62,78,3,,
Valkas novada Ērģemes pagasta Ērģemes bibliotēka,LV-BIB-000821,"Arkādijas, Ērģeme, Ērģemes pag., Valkas nov., LV-4711",57.80571,25.8006,408502,607000,Bibliotēkas,Jā,Līga Kondratjeva,90000016871,22.02.1996,BLB0439,08.01.2004,Pašvaldības iestāde,340A,07.09.2015,07.09.2020,1946,1946.gadā,"Ērģemes bibliotēka ir pagasta kultūras, informācijas un izglītības iestāde, kas nodrošina bibliotēkas krājuma un elektroniskās informācijas publisku pieejamību.",,Pašvaldības īpašums,1926,,,,Jā,,63.00000000,10,159,20,139.00000000,2041.00000000,1812,229,,442,8217.00000000,181,,560.00000000,414.00000000,5104.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,9,7,1,,
Valkas novada Ērģemes pagasta Omuļu bibliotēka,LV-BIB-000822,"Starteri, Omuļi, Ērģemes pag., Valkas nov., LV-4711",57.8841,25.7462,417142,603543,Bibliotēkas,Jā,Valve Āboliņa,900000016871,22.02.1996,BLB0440,09.01.2004,Pašvaldības iestāde,341A,07.09.2015,07.09.2020,1945,"Bibliotēka dibināta 1945. gadā kā Omuļu pagasta bibliotēka. 1954. gadā Omuļu ciemu pievieno Ērģemes ciemam, bet bibliotēka Omuļos palika. 2014. gada martā bibliotēka no vecās Omuļu skolas telpām pārcelta uz daudzdzīvokļu mājas, kur tai ierādītas izremontētas, gaišas telpas. ","Bibliotēka ir kultūras, informācijas un izglītības iestāde, kas apdzīvotajā vietā ""Omuļi"" nodrošina iedzīvotāju informacionālās vajadzības, komplektē lasītāju interesēm atbilstošus resursus, apzina vietējās kultūras mantojuma vērtības, uzkrāj un popularizē tās. Apmeklētājiem pieejami četri datori, divi printeri un multifunkcionālā iekārta. ",Ceturtdienās no plkst 11:00 veic grāmatu pienešanu mājās!,Pašvaldības īpašums,1968,,,,,,57.00000000,6,63,7,56.00000000,1944.00000000,1823,121,,,7296.00000000,40,,510.00000000,539.00000000,3938.00000000,Jā,ALISE,,2.00000000,2.00000000,,,1.00000000,,,,,22,4,,,
Valkas novada Ērģemes pagasta Turnas bibliotēka,LV-BIB-000823,"Valžkalni, Turna, Ērģemes pag., Valkas nov., LV-4711",57.75393,25.78469,402713,606207,Bibliotēkas,Jā,Daiga Ūdre,90000016871,22.02.1996,BLB0441,09.01.2004,Pašvaldības iestāde,342A,07.09.2015,07.09.2020,,"Turnas bibliotēka dibināta 1970.gadā. Bibliotēka atrodas 1860.gadā celtā muižas ēkā, tā ir viena no trijām pagasta bibliotēkām.","Turnas bibliotēka ir pagasta kultūras, informācijas un izglītības iestāde. Bibliotēkas mērķis ir nodrošināt brīvu plašas informācijas pieejamību, radīt vidi, lai bibliotēkā katrs apmeklētājs ir gaidīts.",,,,,,,,,,,83,10,73.00000000,1147.00000000,1095,52,,442,4700.00000000,184,,504.00000000,258.00000000,4164.00000000,Jā,ALISE,,2.00000000,1.00000000,,,2.00000000,,,,,7,6,,,
